name,team,position,injury_status,injured,total_gp,total_gs,total_min,total_mpg,total_fpts,total_favg,l30_gp,l30_gs,l30_min,l30_mpg,l30_fpts,l30_favg,l15_gp,l15_gs,l15_min,l15_mpg,l15_fpts,l15_favg,l7_gp,l7_gs,l7_min,l7_mpg,l7_fpts,l7_favg,total_gp_ratio,l30_gp_ratio,l15_gp_ratio,l7_gp_ratio,total_gs_ratio,l30_gs_ratio,l15_gs_ratio,l7_gs_ratio,total_min_ratio,l30_min_ratio,l15_min_ratio,l7_min_ratio,total_mpg_ratio,l30_mpg_ratio,l15_mpg_ratio,l7_mpg_ratio,total_fpts_ratio,l30_fpts_ratio,l15_fpts_ratio,l7_fpts_ratio,total_favg_ratio,l30_favg_ratio,l15_favg_ratio,l7_favg_ratio
Jemerrio Jones,LAL,SF,ACTIVE,False,2,0,15,7,13,6,1,0,12,12,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.0,0.0,0.19,0.33,0.0,0.0,0.02,0.02,0.0,0.0,0.22,0.16,0.0,0.0
RJ Nembhard Jr.,CLE,SG,ACTIVE,False,6,0,41,6,33,5,3,0,35,11,23,7,1,0,2,2,0,0,0,0,0,0,0,0,0.14,0.19,0.12,0.0,0.0,0.0,0.0,0.0,0.04,0.1,0.01,0.0,0.17,0.31,0.05,0.0,0.05,0.08,0.0,0.0,0.19,0.22,0.0,0.0
JaKarr Sampson,IND,PF,ACTIVE,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scotty Hopson,OKC,SG,ACTIVE,False,1,0,18,18,7,7,1,0,18,18,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.0,0.0,0.5,0.5,0.0,0.0,0.01,0.02,0.0,0.0,0.26,0.22,0.0,0.0
Norvel Pelle,UTA,C,ACTIVE,False,3,0,19,6,21,7,3,0,19,6,21,7,3,0,19,6,21,7,0,0,0,0,0,0,0.07,0.19,0.38,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.1,0.0,0.17,0.17,0.15,0.0,0.03,0.07,0.12,0.0,0.26,0.22,0.12,0.0
Rayjon Tucker,DEN,SF,ACTIVE,False,3,0,30,10,21,7,3,0,30,10,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.09,0.0,0.0,0.28,0.28,0.0,0.0,0.03,0.07,0.0,0.0,0.26,0.22,0.0,0.0
Devin Cannady,ORL,PG,ACTIVE,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel Ayayi,WAS,PG,ACTIVE,False,7,0,20,2,15,2,2,0,7,3,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.06,0.08,0.0,0.0,0.02,0.02,0.0,0.0,0.07,0.09,0.0,0.0
Trendon Watford,POR,PF,ACTIVE,False,18,0,165,9,178,9,9,0,121,13,121,13,7,0,103,14,108,15,3,0,40,13,35,11,0.42,0.56,0.88,0.6,0.0,0.0,0.0,0.0,0.18,0.35,0.55,0.38,0.25,0.36,0.34,0.48,0.25,0.4,0.61,0.36,0.33,0.41,0.27,0.31
DaQuan Jeffries,MEM,SG,ACTIVE,False,3,0,9,3,8,2,3,0,9,3,8,2,2,0,8,4,8,4,0,0,0,0,0,0,0.07,0.19,0.25,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.0,0.08,0.08,0.1,0.0,0.01,0.03,0.05,0.0,0.07,0.06,0.07,0.0
Jaylen Morris,SAS,SG,ACTIVE,False,3,0,17,5,7,2,3,0,17,5,7,2,2,0,11,5,2,1,0,0,0,0,0,0,0.07,0.19,0.25,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.06,0.0,0.14,0.14,0.12,0.0,0.01,0.02,0.01,0.0,0.07,0.06,0.02,0.0
Malik Newman,CLE,SG,ACTIVE,False,1,0,8,8,13,13,1,0,8,8,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.22,0.22,0.0,0.0,0.02,0.04,0.0,0.0,0.48,0.41,0.0,0.0
Sindarius Thornwell,ORL,SG,ACTIVE,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hassani Gravett,ORL,PG,ACTIVE,False,8,3,172,21,132,16,6,3,123,20,95,15,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.38,0.0,0.0,0.09,0.27,0.0,0.0,0.19,0.36,0.0,0.0,0.58,0.56,0.0,0.0,0.19,0.31,0.0,0.0,0.59,0.47,0.0,0.0
Daishen Nix,HOU,SG,ACTIVE,False,8,0,68,8,75,9,7,0,66,9,74,10,3,0,21,7,26,8,0,0,0,0,0,0,0.19,0.44,0.38,0.0,0.0,0.0,0.0,0.0,0.07,0.19,0.11,0.0,0.22,0.25,0.17,0.0,0.11,0.24,0.15,0.0,0.33,0.31,0.14,0.0
Juwan Morgan,TOR,SF,ACTIVE,False,1,0,27,27,16,16,1,0,27,27,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.0,0.0,0.75,0.75,0.0,0.0,0.02,0.05,0.0,0.0,0.59,0.5,0.0,0.0
Jarrell Brantley,UTA,PF,ACTIVE,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emanuel Terry,PHO,PF,ACTIVE,False,3,0,18,6,31,10,3,0,18,6,31,10,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.0,0.0,0.17,0.17,0.0,0.0,0.04,0.1,0.0,0.0,0.37,0.31,0.0,0.0
Jeff Dowtin,MIL,PG,ACTIVE,False,5,0,32,6,27,5,1,0,3,3,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0.12,0.06,0.12,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.02,0.0,0.17,0.08,0.07,0.0,0.04,0.0,0.0,0.0,0.19,0.0,0.0,0.0
Amida Brimah,IND,C,ACTIVE,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Hall,OKC,SF,ACTIVE,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
