name,team,position,injury_status,injured,total_gp,total_gs,total_min,total_mpg,total_fpts,total_favg,l30_gp,l30_gs,l30_min,l30_mpg,l30_fpts,l30_favg,l15_gp,l15_gs,l15_min,l15_mpg,l15_fpts,l15_favg,l7_gp,l7_gs,l7_min,l7_mpg,l7_fpts,l7_favg,total_gp_ratio,l30_gp_ratio,l15_gp_ratio,l7_gp_ratio,total_gs_ratio,l30_gs_ratio,l15_gs_ratio,l7_gs_ratio,total_min_ratio,l30_min_ratio,l15_min_ratio,l7_min_ratio,total_mpg_ratio,l30_mpg_ratio,l15_mpg_ratio,l7_mpg_ratio,total_fpts_ratio,l30_fpts_ratio,l15_fpts_ratio,l7_fpts_ratio,total_favg_ratio,l30_favg_ratio,l15_favg_ratio,l7_favg_ratio
Andre Iguodala,GSW,SF,OUT,True,25,0,511,20,481,19,9,0,189,21,163,18,7,0,141,20,109,15,3,0,62,20,44,14,0.58,0.56,0.88,0.6,0.0,0.0,0.0,0.0,0.55,0.55,0.76,0.59,0.56,0.58,0.49,0.74,0.68,0.54,0.62,0.45,0.7,0.56,0.27,0.4
Lance Stephenson,IND,SF,ACTIVE,False,16,0,261,16,271,16,16,0,261,16,271,16,7,0,129,18,138,19,4,0,48,12,25,6,0.37,1.0,0.88,0.8,0.0,0.0,0.0,0.0,0.28,0.76,0.69,0.46,0.44,0.44,0.44,0.44,0.38,0.89,0.78,0.26,0.59,0.5,0.34,0.17
DeAndre Jordan,LAL,C,ACTIVE,False,29,18,379,13,545,18,3,0,27,9,43,14,2,0,20,10,26,13,1,0,12,12,16,16,0.67,0.19,0.25,0.2,0.56,0.0,0.0,0.0,0.41,0.08,0.11,0.11,0.36,0.25,0.24,0.44,0.77,0.14,0.15,0.16,0.67,0.44,0.23,0.46
DeMarcus Cousins,MIL,C,ACTIVE,False,17,5,286,16,438,25,8,3,157,19,262,32,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0.0,0.0,0.16,0.27,0.0,0.0,0.31,0.46,0.0,0.0,0.44,0.53,0.0,0.0,0.62,0.86,0.0,0.0,0.93,1.0,0.0,0.0
Jeremy Lamb,IND,SG,ACTIVE,False,31,0,461,14,493,15,6,0,111,18,103,17,5,0,88,17,62,12,2,0,44,22,33,16,0.72,0.38,0.62,0.4,0.0,0.0,0.0,0.0,0.5,0.32,0.47,0.42,0.39,0.5,0.41,0.81,0.7,0.34,0.35,0.34,0.56,0.53,0.21,0.46
Isaiah Thomas,DAL,PG,ACTIVE,False,5,1,114,22,81,16,2,0,34,17,25,12,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.12,0.0,0.0,0.03,0.0,0.0,0.0,0.12,0.1,0.0,0.0,0.61,0.47,0.0,0.0,0.11,0.08,0.0,0.0,0.59,0.38,0.0,0.0
Willy Hernangomez,NOP,C,ACTIVE,False,22,3,343,15,611,27,5,3,86,17,121,24,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0.31,0.0,0.0,0.09,0.27,0.0,0.0,0.37,0.25,0.0,0.0,0.42,0.47,0.0,0.0,0.86,0.4,0.0,0.0,1.0,0.75,0.0,0.0
Tacko Fall,CLE,C,ACTIVE,False,10,1,58,5,72,7,3,1,34,11,54,18,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.19,0.0,0.0,0.03,0.09,0.0,0.0,0.06,0.1,0.0,0.0,0.14,0.31,0.0,0.0,0.1,0.18,0.0,0.0,0.26,0.56,0.0,0.0
Torrey Craig,IND,SF,ACTIVE,False,41,4,734,17,707,17,12,3,306,25,294,24,6,3,163,27,146,24,4,3,105,26,98,24,0.95,0.75,0.75,0.8,0.12,0.27,0.5,1.0,0.79,0.89,0.88,1.0,0.47,0.69,0.66,0.96,1.0,0.97,0.82,1.0,0.63,0.75,0.43,0.69
Marc Gasol,LAL,C,ACTIVE,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frank Kaminsky,PHO,C,OUT,True,9,0,182,20,244,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.35,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Grant Williams,BOS,PF,ACTIVE,False,41,13,928,22,695,16,13,4,309,23,190,14,8,2,164,20,90,11,4,2,78,19,49,12,0.95,0.81,1.0,0.8,0.41,0.36,0.33,0.67,1.0,0.9,0.88,0.74,0.61,0.64,0.49,0.7,0.98,0.63,0.51,0.5,0.59,0.44,0.2,0.34
Davis Bertans,WAS,PF,ACTIVE,False,30,0,464,15,363,12,9,0,131,14,131,14,4,0,44,11,36,9,1,0,8,8,0,0,0.7,0.56,0.5,0.2,0.0,0.0,0.0,0.0,0.5,0.38,0.24,0.08,0.42,0.39,0.27,0.3,0.51,0.43,0.2,0.0,0.44,0.44,0.16,0.0
Paul Millsap,BKN,PF,OUT,True,24,0,270,11,327,13,3,0,35,11,47,15,1,0,19,19,37,37,0,0,0,0,0,0,0.56,0.19,0.12,0.0,0.0,0.0,0.0,0.0,0.29,0.1,0.1,0.0,0.31,0.31,0.46,0.0,0.46,0.16,0.21,0.0,0.48,0.47,0.66,0.0
Ish Smith,CHA,PG,ACTIVE,False,29,1,409,14,381,13,8,0,114,14,115,14,2,0,21,10,20,10,2,0,21,10,20,10,0.67,0.5,0.25,0.4,0.03,0.0,0.0,0.0,0.44,0.33,0.11,0.2,0.39,0.39,0.24,0.37,0.54,0.38,0.11,0.2,0.48,0.44,0.18,0.29
Tomas Satoransky,NOP,PG,ACTIVE,False,31,3,463,14,341,11,4,0,63,15,75,18,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0.25,0.0,0.0,0.09,0.0,0.0,0.0,0.5,0.18,0.0,0.0,0.39,0.42,0.0,0.0,0.48,0.25,0.0,0.0,0.41,0.56,0.0,0.0
Juan Toscano-Anderson,GSW,PF,ACTIVE,False,43,4,689,16,656,15,13,2,204,15,192,14,7,1,96,13,91,13,4,0,52,13,56,14,1.0,0.81,0.88,0.8,0.12,0.18,0.17,0.0,0.74,0.6,0.52,0.5,0.44,0.42,0.32,0.48,0.93,0.63,0.51,0.57,0.56,0.44,0.23,0.4
Oshae Brissett,IND,PF,ACTIVE,False,35,1,652,18,626,17,14,1,312,22,303,21,7,0,154,22,135,19,4,0,76,19,65,16,0.81,0.88,0.88,0.8,0.03,0.09,0.0,0.0,0.7,0.91,0.83,0.72,0.5,0.61,0.54,0.7,0.89,1.0,0.76,0.66,0.63,0.66,0.34,0.46
Thanasis Antetokounmpo,MIL,SF,ACTIVE,False,27,5,331,12,307,11,5,0,27,5,19,3,3,0,17,5,16,5,0,0,0,0,0,0,0.63,0.31,0.38,0.0,0.16,0.0,0.0,0.0,0.36,0.08,0.09,0.0,0.33,0.14,0.12,0.0,0.43,0.06,0.09,0.0,0.41,0.09,0.09,0.0
Willie Cauley-Stein,DAL,C,ACTIVE,False,18,2,178,9,141,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.26,0.0,0.0,0.0
Payton Pritchard,BOS,PG,ACTIVE,False,36,2,491,13,448,12,11,2,225,20,221,20,5,0,69,13,62,12,4,0,58,14,55,13,0.84,0.69,0.62,0.8,0.06,0.18,0.0,0.0,0.53,0.66,0.37,0.55,0.36,0.56,0.32,0.52,0.63,0.73,0.35,0.56,0.44,0.62,0.21,0.37
Raul Neto,WAS,PG,ACTIVE,False,38,0,778,20,673,17,8,0,171,21,125,15,6,0,120,20,89,14,2,0,42,21,22,11,0.88,0.5,0.75,0.4,0.0,0.0,0.0,0.0,0.84,0.5,0.65,0.4,0.56,0.58,0.49,0.78,0.95,0.41,0.5,0.22,0.63,0.47,0.25,0.31
Taurean Prince,MIN,SF,ACTIVE,False,34,8,491,14,376,11,10,0,121,12,110,11,7,0,77,11,62,8,3,0,36,12,32,10,0.79,0.62,0.88,0.6,0.25,0.0,0.0,0.0,0.53,0.35,0.41,0.34,0.39,0.33,0.27,0.44,0.53,0.36,0.35,0.33,0.41,0.34,0.14,0.29
Trevor Ariza,LAL,SF,ACTIVE,False,11,4,203,18,147,13,9,4,167,18,112,12,6,3,115,19,83,13,3,2,63,21,40,13,0.26,0.56,0.75,0.6,0.12,0.36,0.5,0.67,0.22,0.49,0.62,0.6,0.5,0.5,0.46,0.78,0.21,0.37,0.47,0.41,0.48,0.38,0.23,0.37
Kira Lewis Jr.,NOP,PG,OUT,True,24,0,341,14,336,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.52,0.0,0.0,0.0
JaMychal Green,DEN,PF,OUT,True,35,7,523,14,562,16,10,3,164,16,186,18,3,3,58,19,62,20,0,0,0,0,0,0,0.81,0.62,0.38,0.0,0.22,0.27,0.5,0.0,0.56,0.48,0.31,0.0,0.39,0.44,0.46,0.0,0.79,0.61,0.35,0.0,0.59,0.56,0.36,0.0
Derrick Walton Jr.,DET,PG,ACTIVE,False,3,3,108,36,76,25,3,3,108,36,76,25,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.19,0.0,0.0,0.09,0.27,0.0,0.0,0.12,0.32,0.0,0.0,1.0,1.0,0.0,0.0,0.11,0.25,0.0,0.0,0.93,0.78,0.0,0.0
Boban Marjanovic,DAL,C,ACTIVE,False,15,0,95,6,162,10,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.0,0.0,0.17,0.08,0.0,0.0,0.23,0.0,0.0,0.0,0.37,0.0,0.0,0.0
Kostas Antetokounmpo,LAL,PF,ACTIVE,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luka Garza,DET,C,OUT,True,27,5,324,12,383,14,9,3,162,18,209,23,3,0,35,11,50,16,1,0,7,7,11,11,0.63,0.56,0.38,0.2,0.16,0.27,0.0,0.0,0.35,0.47,0.19,0.07,0.33,0.5,0.27,0.26,0.54,0.69,0.28,0.11,0.52,0.72,0.29,0.31
Elfrid Payton,PHO,PG,ACTIVE,False,24,0,267,11,257,10,9,0,77,8,77,8,4,0,25,6,23,5,3,0,10,3,9,3,0.56,0.56,0.5,0.6,0.0,0.0,0.0,0.0,0.29,0.23,0.13,0.1,0.31,0.22,0.15,0.11,0.36,0.25,0.13,0.09,0.37,0.25,0.09,0.09
Ben McLemore,POR,SG,ACTIVE,False,27,4,462,17,400,14,10,4,239,23,205,20,7,4,172,24,142,20,3,1,69,23,42,14,0.63,0.62,0.88,0.6,0.12,0.36,0.67,0.33,0.5,0.7,0.92,0.66,0.47,0.64,0.59,0.85,0.57,0.68,0.8,0.43,0.52,0.62,0.36,0.4
Frank Jackson,DET,PG,OUT,True,33,5,749,22,604,18,3,3,87,29,75,25,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.19,0.0,0.0,0.16,0.27,0.0,0.0,0.81,0.25,0.0,0.0,0.61,0.81,0.0,0.0,0.85,0.25,0.0,0.0,0.67,0.78,0.0,0.0
DeAndre' Bembry,BKN,SF,DAY_TO_DAY,False,38,16,746,19,634,16,12,5,237,19,207,17,6,2,95,15,62,10,1,0,17,17,8,8,0.88,0.75,0.75,0.2,0.5,0.45,0.33,0.0,0.8,0.69,0.51,0.16,0.53,0.53,0.37,0.63,0.9,0.68,0.35,0.08,0.59,0.53,0.18,0.23
Garrett Temple,NOP,SG,ACTIVE,False,43,12,834,19,649,15,13,3,291,22,214,16,7,1,133,19,66,9,3,0,50,16,12,4,1.0,0.81,0.88,0.6,0.38,0.27,0.17,0.0,0.9,0.85,0.72,0.48,0.53,0.61,0.46,0.59,0.92,0.71,0.37,0.12,0.56,0.5,0.16,0.11
Jalen McDaniels,CHA,PF,ACTIVE,False,38,2,680,17,683,17,12,2,247,20,237,19,6,0,100,16,90,15,3,0,55,18,53,17,0.88,0.75,0.75,0.6,0.06,0.18,0.0,0.0,0.73,0.72,0.54,0.52,0.47,0.56,0.39,0.67,0.97,0.78,0.51,0.54,0.63,0.59,0.27,0.49
Gorgui Dieng,ATL,C,DAY_TO_DAY,False,32,3,309,9,398,12,8,3,113,14,143,17,4,2,34,8,36,9,3,2,32,10,30,10,0.74,0.5,0.5,0.6,0.09,0.27,0.33,0.67,0.33,0.33,0.18,0.3,0.25,0.39,0.2,0.37,0.56,0.47,0.2,0.31,0.44,0.53,0.16,0.29
Austin Rivers,DEN,SG,ACTIVE,False,31,9,632,20,370,11,12,6,299,24,181,15,5,1,113,22,70,14,1,0,7,7,0,0,0.72,0.75,0.62,0.2,0.28,0.55,0.17,0.0,0.68,0.87,0.61,0.07,0.56,0.67,0.54,0.26,0.52,0.6,0.4,0.0,0.41,0.47,0.25,0.0
Taj Gibson,NYK,PF,ACTIVE,False,29,3,556,19,454,15,14,2,276,19,234,16,7,0,131,18,103,14,4,0,79,19,57,14,0.67,0.88,0.88,0.8,0.09,0.18,0.0,0.0,0.6,0.81,0.7,0.75,0.53,0.53,0.44,0.7,0.64,0.77,0.58,0.58,0.56,0.5,0.25,0.4
Aaron Holiday,WAS,PG,ACTIVE,False,35,10,566,16,493,14,5,2,84,16,89,17,3,0,28,9,41,13,2,0,15,7,28,14,0.81,0.31,0.38,0.4,0.31,0.18,0.0,0.0,0.61,0.25,0.15,0.14,0.44,0.44,0.22,0.26,0.7,0.29,0.23,0.29,0.52,0.53,0.23,0.4
Alex Len,SAC,C,ACTIVE,False,30,9,524,17,612,20,9,2,168,18,234,26,6,2,118,19,177,29,2,0,25,12,29,14,0.7,0.56,0.75,0.4,0.28,0.18,0.33,0.0,0.56,0.49,0.63,0.24,0.47,0.5,0.46,0.44,0.87,0.77,1.0,0.3,0.74,0.81,0.52,0.4
D.J. Wilson,TOR,PF,ACTIVE,False,3,1,48,16,69,23,3,1,48,16,69,23,1,0,1,1,0,0,0,0,0,0,0,0,0.07,0.19,0.12,0.0,0.03,0.09,0.0,0.0,0.05,0.14,0.01,0.0,0.44,0.44,0.02,0.0,0.1,0.23,0.0,0.0,0.85,0.72,0.0,0.0
Trey Murphy III,NOP,SG,ACTIVE,False,36,0,460,12,364,10,6,0,58,9,51,8,2,0,5,2,13,6,1,0,2,2,1,1,0.84,0.38,0.25,0.2,0.0,0.0,0.0,0.0,0.5,0.17,0.03,0.02,0.33,0.25,0.05,0.07,0.51,0.17,0.07,0.01,0.37,0.25,0.11,0.03
Austin Reaves,LAL,SG,ACTIVE,False,26,0,548,21,370,14,9,0,213,23,143,15,6,0,142,23,106,17,3,0,73,24,42,14,0.6,0.56,0.75,0.6,0.0,0.0,0.0,0.0,0.59,0.62,0.76,0.7,0.58,0.64,0.56,0.89,0.52,0.47,0.6,0.43,0.52,0.47,0.3,0.4
Cody Zeller,POR,C,OUT,True,27,0,356,13,469,17,3,0,37,12,58,19,3,0,37,12,58,19,0,0,0,0,0,0,0.63,0.19,0.38,0.0,0.0,0.0,0.0,0.0,0.38,0.11,0.2,0.0,0.36,0.33,0.29,0.0,0.66,0.19,0.33,0.0,0.63,0.59,0.34,0.0
D.J. Augustin,HOU,PG,ACTIVE,False,33,2,495,15,386,11,6,0,101,16,86,14,3,0,47,15,42,14,1,0,12,12,15,15,0.77,0.38,0.38,0.2,0.06,0.0,0.0,0.0,0.53,0.3,0.25,0.11,0.42,0.44,0.37,0.44,0.55,0.28,0.24,0.15,0.41,0.44,0.25,0.43
Avery Bradley,LAL,SG,ACTIVE,False,37,32,885,23,580,15,11,11,283,25,202,18,6,6,145,24,101,16,3,3,71,23,27,9,0.86,0.69,0.75,0.6,1.0,1.0,1.0,1.0,0.95,0.83,0.78,0.68,0.64,0.69,0.59,0.85,0.82,0.67,0.57,0.28,0.56,0.56,0.29,0.26
Jared Butler,UTA,SG,ACTIVE,False,20,1,114,5,108,5,3,1,41,13,32,10,1,1,32,32,26,26,0,0,0,0,0,0,0.47,0.19,0.12,0.0,0.03,0.09,0.17,0.0,0.12,0.12,0.17,0.0,0.14,0.36,0.78,0.0,0.15,0.11,0.15,0.0,0.19,0.31,0.46,0.0
Danuel House Jr.,UTA,SF,ACTIVE,False,21,1,301,14,256,12,5,0,68,13,51,10,4,0,65,16,51,12,1,0,11,11,9,9,0.49,0.31,0.5,0.2,0.03,0.0,0.0,0.0,0.32,0.2,0.35,0.1,0.39,0.36,0.39,0.41,0.36,0.17,0.29,0.09,0.44,0.31,0.21,0.26
Kyle Guy,MIA,SG,ACTIVE,False,7,0,121,17,112,16,7,0,121,17,112,16,3,0,32,10,20,6,1,0,18,18,11,11,0.16,0.44,0.38,0.2,0.0,0.0,0.0,0.0,0.13,0.35,0.17,0.17,0.47,0.47,0.24,0.67,0.16,0.37,0.11,0.11,0.59,0.5,0.11,0.31
Greg Monroe,WAS,C,ACTIVE,False,5,0,81,16,126,25,5,0,81,16,126,25,2,0,18,9,36,18,0,0,0,0,0,0,0.12,0.31,0.25,0.0,0.0,0.0,0.0,0.0,0.09,0.24,0.1,0.0,0.44,0.44,0.22,0.0,0.18,0.42,0.2,0.0,0.93,0.78,0.32,0.0
Stanley Johnson,LAL,SF,ACTIVE,False,11,5,225,20,166,15,11,5,225,20,166,15,6,2,99,16,86,14,3,0,54,18,53,17,0.26,0.69,0.75,0.6,0.16,0.45,0.33,0.0,0.24,0.66,0.53,0.51,0.56,0.56,0.39,0.67,0.23,0.55,0.49,0.54,0.56,0.47,0.25,0.49
Armoni Brooks,HOU,PG,ACTIVE,False,35,8,624,17,539,15,9,2,195,21,147,16,3,0,40,13,40,13,2,0,25,12,29,14,0.81,0.56,0.38,0.4,0.25,0.18,0.0,0.0,0.67,0.57,0.22,0.24,0.47,0.58,0.32,0.44,0.76,0.49,0.23,0.3,0.56,0.5,0.23,0.4
Tony Bradley,CHI,C,ACTIVE,False,31,7,390,12,478,15,8,0,99,12,124,15,8,0,99,12,124,15,4,0,53,13,49,12,0.72,0.5,1.0,0.8,0.22,0.0,0.0,0.0,0.42,0.29,0.53,0.5,0.33,0.33,0.29,0.48,0.68,0.41,0.7,0.5,0.56,0.47,0.27,0.34
Wayne Ellington,LAL,SG,ACTIVE,False,30,8,609,20,383,12,6,2,84,14,69,11,3,0,35,11,30,10,1,0,15,15,5,5,0.7,0.38,0.38,0.2,0.25,0.18,0.0,0.0,0.66,0.25,0.19,0.14,0.56,0.39,0.27,0.56,0.54,0.23,0.17,0.05,0.44,0.34,0.18,0.14
Drew Eubanks,SAS,PF,ACTIVE,False,40,8,502,12,643,16,11,0,111,10,132,12,5,0,71,14,72,14,3,0,33,11,41,13,0.93,0.69,0.62,0.6,0.25,0.0,0.0,0.0,0.54,0.32,0.38,0.31,0.33,0.28,0.34,0.41,0.91,0.44,0.41,0.42,0.59,0.38,0.25,0.37
Romeo Langford,BOS,SG,ACTIVE,False,35,5,631,18,479,13,11,4,195,17,159,14,5,0,44,8,31,6,3,0,39,13,23,7,0.81,0.69,0.62,0.6,0.16,0.36,0.0,0.0,0.68,0.57,0.24,0.37,0.5,0.47,0.2,0.48,0.68,0.52,0.18,0.23,0.48,0.44,0.11,0.2
Justise Winslow,LAC,SF,ACTIVE,False,31,1,365,11,428,13,10,0,153,15,204,20,3,0,46,15,57,19,1,0,14,14,21,21,0.72,0.62,0.38,0.2,0.03,0.0,0.0,0.0,0.39,0.45,0.25,0.13,0.31,0.42,0.37,0.52,0.61,0.67,0.32,0.21,0.48,0.62,0.34,0.6
Lamar Stevens,CLE,PF,DAY_TO_DAY,False,30,8,457,15,392,13,10,7,244,24,224,22,6,6,151,25,153,25,2,2,50,25,36,18,0.7,0.62,0.75,0.4,0.25,0.64,1.0,0.67,0.49,0.71,0.81,0.48,0.42,0.67,0.61,0.93,0.55,0.74,0.86,0.37,0.48,0.69,0.45,0.51
Markieff Morris,MIA,PF,OUT,True,10,0,188,18,172,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.63,0.0,0.0,0.0
Juancho Hernangomez,SAS,PF,ACTIVE,False,18,0,99,5,81,4,3,0,34,11,27,9,1,0,2,2,0,0,0,0,0,0,0,0,0.42,0.19,0.12,0.0,0.0,0.0,0.0,0.0,0.11,0.1,0.01,0.0,0.14,0.31,0.05,0.0,0.11,0.09,0.0,0.0,0.15,0.28,0.0,0.0
Miles McBride,NYK,PG,ACTIVE,False,15,2,146,9,118,7,8,2,77,9,38,4,4,0,10,2,8,2,1,0,3,3,5,5,0.35,0.5,0.5,0.2,0.06,0.18,0.0,0.0,0.16,0.23,0.05,0.03,0.25,0.25,0.05,0.11,0.17,0.13,0.05,0.05,0.26,0.12,0.04,0.14
Yuta Watanabe,TOR,SF,ACTIVE,False,17,4,313,18,300,17,7,4,119,17,101,14,3,2,28,9,6,2,2,1,13,6,4,2,0.4,0.44,0.38,0.4,0.12,0.36,0.33,0.33,0.34,0.35,0.15,0.12,0.5,0.47,0.22,0.22,0.42,0.33,0.03,0.04,0.63,0.44,0.04,0.06
James Johnson,BKN,PF,ACTIVE,False,29,2,499,17,457,15,11,0,173,15,140,12,5,0,42,8,45,9,0,0,0,0,0,0,0.67,0.69,0.62,0.0,0.06,0.0,0.0,0.0,0.54,0.51,0.23,0.0,0.47,0.42,0.2,0.0,0.65,0.46,0.25,0.0,0.56,0.38,0.16,0.0
Dwayne Bacon,NYK,SG,ACTIVE,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dean Wade,CLE,PF,ACTIVE,False,31,16,578,18,448,14,10,3,143,14,113,11,3,0,10,3,0,0,1,0,2,2,0,0,0.72,0.62,0.38,0.2,0.5,0.27,0.0,0.0,0.62,0.42,0.05,0.02,0.5,0.39,0.07,0.07,0.63,0.37,0.0,0.0,0.52,0.34,0.0,0.0
Sterling Brown,DAL,SG,DAY_TO_DAY,False,36,3,514,14,481,13,14,2,204,14,196,14,6,0,60,10,49,8,3,0,25,8,11,3,0.84,0.88,0.75,0.6,0.09,0.18,0.0,0.0,0.55,0.6,0.32,0.24,0.39,0.39,0.24,0.3,0.68,0.65,0.28,0.11,0.48,0.44,0.14,0.09
Svi Mykhailiuk,TOR,SG,ACTIVE,False,38,5,643,16,534,14,9,1,124,13,79,8,5,0,37,7,18,3,2,0,14,7,2,1,0.88,0.56,0.62,0.4,0.16,0.09,0.0,0.0,0.69,0.36,0.2,0.13,0.44,0.36,0.17,0.26,0.76,0.26,0.1,0.02,0.52,0.25,0.05,0.03
David Duke Jr.,BKN,SG,ACTIVE,False,13,7,244,18,252,19,8,4,107,13,92,11,6,3,80,13,85,14,1,0,2,2,0,0,0.3,0.5,0.75,0.2,0.22,0.36,0.5,0.0,0.26,0.31,0.43,0.02,0.5,0.36,0.32,0.07,0.36,0.3,0.48,0.0,0.7,0.34,0.25,0.0
Josh Okogie,MIN,SG,ACTIVE,False,29,6,371,12,256,8,9,1,97,10,67,7,6,0,65,10,40,6,2,0,17,8,11,5,0.67,0.56,0.75,0.4,0.19,0.09,0.0,0.0,0.4,0.28,0.35,0.16,0.33,0.28,0.24,0.3,0.36,0.22,0.23,0.11,0.3,0.22,0.11,0.14
P.J. Dozier,BOS,PG,OUT,True,18,0,342,19,301,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.59,0.0,0.0,0.0
Trey Burke,DAL,PG,ACTIVE,False,22,0,269,12,295,13,4,0,27,6,20,5,4,0,27,6,20,5,3,0,11,3,8,2,0.51,0.25,0.5,0.6,0.0,0.0,0.0,0.0,0.29,0.08,0.15,0.1,0.33,0.17,0.15,0.11,0.42,0.07,0.11,0.08,0.48,0.16,0.09,0.06
Damian Jones,SAC,C,ACTIVE,False,27,4,381,14,457,16,11,4,217,19,251,22,3,1,37,12,32,10,2,0,29,14,28,14,0.63,0.69,0.38,0.4,0.12,0.36,0.17,0.0,0.41,0.63,0.2,0.28,0.39,0.53,0.29,0.52,0.65,0.83,0.18,0.29,0.59,0.69,0.18,0.4
Dario Saric,PHO,PF,OUT,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodney McGruder,DET,SG,ACTIVE,False,19,0,215,11,199,10,5,0,104,20,107,21,4,0,83,20,86,21,2,0,54,27,71,35,0.44,0.31,0.5,0.4,0.0,0.0,0.0,0.0,0.23,0.3,0.45,0.51,0.31,0.56,0.49,1.0,0.28,0.35,0.49,0.72,0.37,0.66,0.38,1.0
David Nwaba,HOU,SG,ACTIVE,False,33,4,469,14,571,17,10,4,195,19,241,24,3,0,46,15,53,17,0,0,0,0,0,0,0.77,0.62,0.38,0.0,0.12,0.36,0.0,0.0,0.51,0.57,0.25,0.0,0.39,0.53,0.37,0.0,0.81,0.8,0.3,0.0,0.63,0.75,0.3,0.0
Jock Landale,SAS,C,ACTIVE,False,26,1,289,11,370,14,14,1,227,16,279,19,7,1,117,16,137,19,4,1,66,16,81,20,0.6,0.88,0.88,0.8,0.03,0.09,0.17,0.33,0.31,0.66,0.63,0.63,0.31,0.44,0.39,0.59,0.52,0.92,0.77,0.83,0.52,0.59,0.34,0.57
Keifer Sykes,IND,SG,ACTIVE,False,11,7,245,22,196,17,11,7,245,22,196,17,6,4,111,18,82,13,3,2,52,17,31,10,0.26,0.69,0.75,0.6,0.22,0.64,0.67,0.67,0.26,0.72,0.6,0.5,0.61,0.61,0.44,0.63,0.28,0.65,0.46,0.32,0.63,0.53,0.23,0.29
Usman Garuba,HOU,PF,ACTIVE,False,15,0,105,7,120,8,4,0,35,8,36,9,1,0,5,5,9,9,0,0,0,0,0,0,0.35,0.25,0.12,0.0,0.0,0.0,0.0,0.0,0.11,0.1,0.03,0.0,0.19,0.22,0.12,0.0,0.17,0.12,0.05,0.0,0.3,0.28,0.16,0.0
Wesley Matthews,MIL,SF,ACTIVE,False,19,6,399,21,275,14,15,6,342,22,251,16,7,5,186,26,132,18,3,1,70,23,37,12,0.44,0.94,0.88,0.6,0.19,0.55,0.83,0.33,0.43,1.0,1.0,0.67,0.58,0.61,0.63,0.85,0.39,0.83,0.75,0.38,0.52,0.5,0.32,0.34
